area_type,area,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28
parliament,P.083 Kuantan,-0.577,-0.613,-0.355,0.083,-0.355,0.02,-0.295,0.043,0.023,-0.072,0.013,-0.101,0.099,-0.215,0.042,0.085,-0.132,-0.792,-0.289,0.1,-0.031,0.0,0.175,0.241,0.065,-0.313,0.017,0.006
parliament,P.084 Paya Besar,0.048,0.218,0.143,-0.046,0.305,0.265,-0.878,-0.614,0.064,-0.157,0.048,-0.054,0.091,-0.268,0.003,0.003,-0.198,-0.775,-0.222,0.093,-0.016,0.0,-0.014,-1.0,-0.351,-0.216,-0.147,0.018
parliament,P.085 Pekan,0.095,0.015,-0.659,0.032,0.205,0.354,0.022,-0.68,-0.137,-0.058,0.108,-0.05,0.062,-0.261,-0.116,-0.103,-0.163,0.013,-0.333,0.104,0.007,0.0,-0.067,-0.456,0.001,0.027,0.11,0.035
parliament,P.086 Maran,0.03,0.111,0.081,0.002,0.158,0.207,-0.883,-0.695,-0.141,0.112,0.13,-0.031,0.13,0.133,-0.297,-0.104,-0.216,0.057,-0.356,-0.043,-0.183,0.0,-0.009,0.027,0.089,0.151,0.428,0.091
parliament,P.087 Kuala Krau,0.024,0.371,0.082,-0.344,0.241,0.191,-0.892,-0.651,0.13,0.115,0.087,0.009,0.131,0.152,-0.204,-0.036,-0.224,-0.158,0.0,-0.085,-0.194,0.0,-0.005,0.018,0.067,0.127,0.008,0.146
parliament,P.088 Temerloh,0.018,0.216,0.104,-0.328,0.179,0.355,-0.821,-0.354,0.031,0.018,0.091,-0.012,0.256,-0.208,-0.127,-0.189,-0.128,0.005,0.0,-0.085,-0.159,0.0,0.35,0.055,0.04,-0.109,0.003,0.015
parliament,P.089 Bentong,0.038,0.297,0.147,-0.796,0.289,0.179,0.05,-0.592,-0.274,-0.026,0.248,0.038,0.003,0.042,-0.133,-0.021,-0.299,-0.408,-0.156,-0.079,-0.023,0.0,-0.003,-0.255,0.051,0.064,0.245,-0.007
parliament,P.090 Bera,0.047,0.014,0.067,-0.435,0.168,0.376,-0.895,-0.67,-0.095,0.073,0.106,-0.036,0.049,0.125,-0.261,-0.25,-0.277,-0.508,-0.2,-0.264,-0.113,0.0,-0.004,-1.0,0.008,0.063,-0.25,0.068
parliament,P.091 Rompin,0.14,0.107,0.235,-0.36,0.314,0.477,-0.908,-0.777,-0.156,-0.103,0.192,0.035,0.036,-0.035,-0.251,-0.104,-0.251,0.018,-0.178,-0.145,-0.019,0.0,-0.032,0.047,0.082,0.111,0.06,0.072
parliament,P.092 Sabak Bernam,-0.326,-0.743,-0.737,0.146,-0.305,0.069,0.038,-0.272,0.071,-0.085,-0.069,-0.321,-0.121,0.675,-0.286,-0.204,-0.097,0.038,-0.156,0.225,-0.315,0.0,0.35,0.285,0.078,0.361,0.174,-0.352
parliament,P.093 Sungai Besar,0.002,-0.699,-0.756,-0.476,0.029,-0.594,0.046,-0.47,-0.064,-0.047,-0.061,-0.336,-0.105,0.533,0.051,0.092,0.126,-0.525,-0.267,0.281,-0.249,0.0,0.35,-1.0,0.068,0.066,0.287,-0.464
parliament,P.094 Hulu Selangor,0.033,0.299,0.098,-0.16,0.239,0.02,-0.776,-0.27,-0.075,0.014,-0.057,-0.337,-0.1,0.063,0.077,0.047,-0.057,-0.725,-0.356,0.315,0.033,0.0,0.35,-0.269,-0.212,-0.158,0.049,-0.552
parliament,P.095 Tanjong Karang,0.006,-0.486,-0.743,0.023,0.039,-0.053,-0.81,-0.535,0.169,-0.111,-0.15,-0.34,-0.228,0.436,-0.037,0.007,0.112,0.028,-0.289,0.338,-0.121,0.0,0.35,0.03,0.04,0.229,-0.377,-0.021
parliament,P.096 Kuala Selangor,-0.2,-0.496,-0.432,-0.046,-0.017,0.331,0.059,0.014,-0.029,0.036,-0.086,-0.337,-0.038,0.034,0.059,0.067,0.039,-0.458,0.0,0.376,0.007,0.0,0.35,-0.488,0.035,-0.139,-0.349,-0.647
parliament,P.097 Selayang,-0.409,0.033,0.057,-0.379,-0.127,0.072,0.003,0.081,-0.044,0.079,-0.069,-0.334,0.076,-0.246,0.171,0.119,0.006,-0.875,-0.044,0.38,-0.008,0.0,0.35,0.029,-0.284,-0.63,-0.195,-0.61
parliament,P.098 Gombak,-0.437,0.209,0.125,0.019,0.206,-0.712,-0.358,0.084,-0.002,0.087,-0.083,-0.329,0.151,-0.269,0.268,0.157,0.121,-0.925,-0.067,0.376,-0.066,0.0,0.35,0.0,-0.104,-0.642,-0.852,-0.567
parliament,P.099 Ampang,-0.737,0.028,0.03,-0.648,-0.1,-0.623,0.021,0.287,-0.016,-0.112,-0.06,-0.323,0.046,-0.059,0.366,0.259,0.286,-0.792,0.142,0.319,-0.019,0.0,0.35,-0.142,-0.141,-0.704,-0.782,-0.659
parliament,P.100 Pandan,-0.78,-0.148,0.051,-0.645,-0.64,-0.509,0.161,0.841,-0.122,-0.262,-0.02,-0.333,-0.151,-0.056,0.168,0.139,-0.299,-0.925,0.081,0.425,0.12,0.0,0.35,0.059,0.006,-0.693,-0.648,-0.592
parliament,P.101 Hulu Langat,0.001,0.213,0.123,-0.107,0.169,-0.293,0.08,0.027,-0.033,-0.11,-0.072,-0.333,-0.066,-0.285,0.208,0.161,-0.176,-0.825,0.132,0.361,0.109,0.0,0.35,-1.0,-0.092,-0.588,-0.555,-0.671
parliament,P.102 Bangi,-0.55,-0.132,-0.022,-0.678,-0.492,-0.238,0.056,0.266,-0.075,-0.065,-0.074,-0.344,-0.167,-0.314,0.205,0.16,-0.057,-0.908,0.031,0.365,0.189,0.0,0.35,0.034,-0.018,-0.632,-0.8,-0.657
parliament,P.103 Puchong,-0.699,-0.471,-0.416,0.078,-0.597,-0.548,0.145,0.347,-0.066,-0.039,-0.077,-0.344,0.028,-0.319,0.201,0.205,0.143,-0.625,0.071,0.263,0.047,0.0,0.35,-0.532,-0.076,-0.725,-0.584,-0.644
parliament,P.104 Subang,-0.712,-0.494,-0.424,0.025,-0.721,-0.602,0.207,0.507,-0.123,-0.067,-0.031,-0.337,-0.261,0.055,0.325,0.328,0.062,-0.925,0.071,0.331,0.146,0.0,0.35,0.053,0.092,-0.547,-0.663,-0.653
parliament,P.105 Petaling Jaya,-0.731,-0.562,-0.583,-0.476,-0.802,-0.788,0.273,0.481,-0.096,-0.084,-0.01,-0.32,-0.206,-0.006,0.311,0.263,0.25,-0.792,0.081,0.323,0.146,0.0,0.35,0.121,0.103,-0.516,-0.571,-0.586
parliament,P.106 Damansara,-0.717,0.001,0.091,-0.761,-0.524,-0.725,0.195,0.528,0.007,-0.043,-0.097,-0.335,-0.031,0.093,0.309,0.35,0.132,-0.875,0.092,0.361,-0.035,0.0,0.35,-0.626,0.055,-0.63,-0.511,-0.597
parliament,P.107 Sungai Buloh,-0.622,-0.311,-0.179,-0.59,-0.42,0.044,0.133,0.181,-0.061,-0.073,-0.087,-0.347,-0.1,-0.351,0.264,0.33,0.303,-0.708,-0.044,0.289,0.146,0.0,0.35,0.13,0.041,-0.656,-0.555,-0.636
parliament,P.108 Shah Alam,-0.612,-0.459,-0.425,-0.105,-0.387,0.024,0.148,0.221,-0.094,-0.162,-0.086,-0.354,-0.207,-0.237,0.365,0.358,0.121,-0.925,-0.089,0.319,0.2,0.0,0.35,0.076,0.044,-0.612,-0.559,-0.688
parliament,P.109 Kapar,-0.301,-0.581,-0.503,0.205,-0.108,-0.322,0.319,0.05,-0.201,0.074,-0.004,-0.345,-0.157,-0.154,0.094,0.147,0.003,-0.508,0.02,0.349,0.142,0.0,0.35,-0.721,-0.217,-0.56,-0.622,-0.509
parliament,P.110 Klang,-0.581,-0.685,-0.704,0.512,-0.466,-0.223,0.041,0.123,-0.138,0.059,-0.035,-0.343,-0.201,0.118,0.21,0.185,0.065,-0.742,0.041,0.395,0.062,0.0,0.35,0.199,0.131,-0.337,-0.259,-0.556
parliament,P.111 Kota Raja,-0.611,-0.55,-0.584,-0.186,-0.609,-0.315,0.065,0.264,-0.091,0.032,-0.063,-0.342,-0.09,-0.028,0.241,0.221,0.087,-0.692,-0.133,0.308,0.069,0.0,0.35,-0.162,0.004,-0.63,-0.819,-0.7
parliament,P.112 Kuala Langat,0.0,-0.447,-0.75,0.147,-0.06,0.239,0.082,0.017,-0.003,-0.073,-0.113,-0.344,-0.177,-0.049,0.131,0.129,-0.057,-0.542,-0.178,0.372,0.135,0.0,0.35,-0.29,0.013,-0.266,-0.672,-0.501
parliament,P.113 Sepang,0.008,-0.375,-0.319,0.087,-0.167,0.159,0.258,0.019,-0.111,-0.215,-0.108,-0.364,-0.262,-0.153,0.276,0.195,0.135,-0.858,-0.133,0.312,0.222,0.0,0.35,0.024,0.032,-0.355,0.018,-0.602
parliament,P.114 Kepong,-0.792,-0.563,-0.613,0.128,-0.818,-0.749,0.265,0.651,-0.388,-0.069,-0.208,-0.316,-0.398,-0.09,0.341,0.285,-0.216,-0.975,0.051,0.229,0.313,0.0,0.35,0.042,0.131,-0.437,0.003,-0.353
parliament,P.115 Batu,-0.78,-0.578,-0.594,0.237,-0.803,-0.759,0.236,0.81,-0.45,-0.134,-0.228,-0.344,-0.405,-0.263,0.242,0.215,-0.207,-0.925,0.061,0.198,0.364,0.0,0.35,0.013,-0.034,-0.233,-0.168,-0.415
parliament,P.116 Wangsa Maju,-0.786,-0.288,-0.043,-0.588,-0.62,-0.638,0.222,1.0,-0.112,-0.043,-0.226,-0.245,-0.082,-0.202,0.248,0.21,-0.277,-0.975,-0.178,0.191,0.102,0.0,0.35,0.014,-0.114,-0.631,-0.314,-0.544
parliament,P.117 Segambut,-0.737,-0.367,-0.216,-0.758,-0.532,-0.508,0.215,0.359,-0.014,-0.223,-0.24,-0.229,-0.248,-0.066,0.7,0.625,0.124,-0.975,0.031,0.244,0.193,0.0,0.35,0.091,0.123,-0.526,-0.004,-0.493
parliament,P.118 Setiawangsa,-0.786,-0.319,-0.338,-0.096,-0.673,-0.7,0.234,0.677,-0.001,-0.304,-0.206,-0.205,0.015,-0.284,0.302,0.288,-0.097,-0.925,0.041,0.21,0.051,0.0,0.35,0.126,-0.227,-0.494,0.032,-0.532
parliament,P.119 Titiwangsa,-0.787,-0.558,-0.651,-0.201,-0.779,-0.808,0.325,0.598,-0.001,-0.213,-0.225,-0.217,0.012,-0.221,0.285,0.317,-0.075,-0.892,-0.133,0.247,0.04,0.0,0.35,0.623,0.403,-0.38,0.108,-0.177
parliament,P.120 Bukit Bintang,-0.779,-0.52,-0.557,-0.715,-0.763,-0.829,0.3,0.417,-0.267,-0.181,-0.176,-0.265,-0.239,-0.255,0.37,0.376,0.031,-0.975,-0.267,0.232,0.229,0.0,0.35,0.4,0.75,0.002,0.277,0.088
parliament,P.121 Lembah Pantai,-0.78,-0.492,-0.396,-0.647,-0.626,-0.778,0.312,0.543,0.102,-0.298,-0.29,-0.242,-0.089,-0.228,0.341,0.253,0.067,-0.975,-0.2,0.24,0.113,0.0,0.35,0.352,0.284,-0.685,0.2,-0.427
parliament,P.122 Seputeh,-0.765,-0.573,-0.539,-0.325,-0.746,-0.464,0.278,0.769,0.087,-0.141,-0.245,-0.216,-0.318,0.017,0.361,0.413,-0.101,-0.892,-0.156,0.183,0.215,0.0,0.35,-0.184,0.011,-0.619,-0.525,-0.612
parliament,P.123 Cheras,-0.786,-0.363,-0.319,-0.782,-0.77,-0.695,0.349,0.624,-0.054,-0.2,-0.204,-0.218,-0.285,0.049,0.29,0.232,-0.145,-0.942,-0.111,0.232,0.167,0.0,0.35,0.224,0.185,-0.172,0.083,-0.173
parliament,P.124 Bandar Tun Razak,-0.773,-0.315,0.028,0.019,-0.627,-0.551,0.197,0.561,0.099,-0.247,-0.246,-0.214,-0.158,-0.094,0.254,0.234,-0.207,-0.975,0.02,0.21,0.131,0.0,0.35,0.082,-0.086,-0.472,0.018,-0.458
parliament,P.125 Putrajaya,-0.74,-0.548,-0.451,0.326,-0.691,-0.508,0.211,0.152,0.296,-0.1,0.217,-0.625,0.575,-0.675,0.329,0.435,0.025,-0.908,-0.6,0.229,-0.307,0.0,0.35,0.039,-0.328,-0.507,0.045,-0.651
parliament,P.126 Jelebu,0.033,0.178,0.153,-0.717,0.298,0.179,-0.875,-0.699,-0.104,0.045,0.002,-0.0,0.265,0.162,-0.123,0.003,0.031,0.007,-0.044,-0.052,-0.296,0.0,0.35,0.285,0.104,0.134,0.096,0.036
parliament,P.127 Jempol,0.016,0.041,0.058,-0.818,0.039,0.65,-0.827,-0.453,0.012,-0.001,-0.019,0.032,0.129,0.048,-0.203,-0.087,-0.009,-0.008,-0.067,-0.124,-0.132,0.0,0.35,-1.0,0.06,0.03,-0.001,0.052
parliament,P.128 Seremban,-0.117,0.152,0.091,-0.389,-0.024,0.011,-0.292,0.026,0.032,-0.07,-0.039,0.021,-0.034,-0.066,0.077,0.126,0.115,-0.225,-0.133,-0.064,0.04,0.0,0.35,-0.034,0.001,-0.305,-0.447,-0.41
parliament,P.129 Kuala Pilah,0.013,0.137,0.091,-0.489,0.199,0.058,-0.813,-0.566,0.068,-0.072,0.027,0.109,-0.043,0.051,-0.178,0.021,0.039,0.051,-0.022,-0.127,0.0,0.0,0.35,0.015,0.107,0.27,0.002,0.041
parliament,P.130 Rasah,-0.48,0.01,0.056,-0.756,-0.163,0.269,0.009,0.067,0.062,-0.098,-0.029,0.037,-0.037,-0.053,0.104,0.149,0.129,-0.675,-0.089,-0.064,0.036,0.0,0.35,0.067,0.083,-0.349,-0.415,-0.414
parliament,P.131 Rembau,0.002,0.083,0.122,-0.708,-0.01,0.22,-0.585,0.01,-0.024,-0.074,0.003,0.037,0.031,-0.281,0.014,0.022,-0.004,-0.275,-0.133,-0.067,0.04,0.0,-0.005,0.069,0.037,-0.053,-0.624,-0.42
parliament,P.132 Port Dickson,-0.008,-0.42,-0.257,-0.29,-0.083,0.396,0.223,0.002,-0.072,-0.001,0.023,0.046,0.059,-0.159,0.018,0.039,0.073,-0.258,-0.044,-0.067,-0.012,0.0,0.35,0.066,-0.034,0.031,-0.152,-0.042
parliament,P.133 Tampin,0.008,0.051,0.052,-0.697,0.053,0.495,-0.787,-0.428,-0.076,0.007,0.02,0.041,0.209,0.057,-0.046,-0.003,0.095,-0.175,-0.022,-0.016,-0.198,0.0,0.35,-0.005,0.015,0.056,0.089,-0.002
parliament,P.134 Masjid Tanah,-0.353,-0.386,-0.139,-0.268,-0.102,0.269,-0.608,0.007,0.134,-0.013,-0.012,0.017,-0.163,0.002,0.037,0.064,0.065,-0.108,-0.4,0.119,0.113,0.0,0.35,-1.0,0.006,0.093,0.071,-0.407
parliament,P.135 Alor Gajah,-0.023,-0.103,0.031,-0.054,-0.094,0.317,-0.555,0.008,-0.041,-0.143,-0.275,-0.196,-0.301,-0.208,0.057,0.116,-0.048,-0.492,-0.356,0.108,0.266,0.0,0.35,-0.487,-0.052,0.074,0.154,-0.301
parliament,P.136 Tangga Batu,-0.639,-0.606,-0.59,-0.232,-0.516,0.004,0.245,0.108,-0.094,-0.044,0.028,-0.002,0.028,-0.319,0.089,0.169,0.062,0.001,-0.533,-0.013,0.047,0.0,0.35,-0.557,-0.219,-0.464,-0.777,-0.56
parliament,P.137 Hang Tuah Jaya,-0.646,-0.527,-0.486,-0.738,-0.366,0.042,0.026,0.104,-0.021,-0.079,0.007,-0.001,0.399,-0.134,0.136,0.176,0.157,-0.258,-0.422,-0.031,-0.28,0.0,0.35,-0.045,0.049,-0.559,-0.39,0.021
parliament,P.138 Kota Melaka,-0.716,-0.661,-0.561,0.038,-0.668,-0.59,0.151,0.231,-0.029,-0.113,-0.018,-0.022,-0.184,0.012,0.082,0.111,0.081,-0.492,-0.4,-0.01,0.12,0.0,0.35,0.04,0.217,-0.044,-0.472,-0.388
parliament,P.139 Jasin,-0.137,-0.594,-0.616,-0.607,0.02,0.368,0.025,0.006,-0.112,-0.011,0.049,0.026,-0.207,-0.03,0.068,0.115,0.095,-0.525,-0.556,-0.148,0.149,0.0,0.35,-0.348,-0.006,0.108,0.122,-0.207
parliament,P.140 Segamat,0.011,-0.316,-0.173,-0.763,0.044,0.53,-0.849,-0.518,0.004,-0.04,0.03,-0.037,-0.243,0.092,0.028,0.045,-0.145,-0.542,-0.089,0.168,0.106,0.0,0.35,-1.0,0.095,0.234,0.257,-0.269
parliament,P.141 Sekijang,-0.037,-0.362,-0.345,-0.772,0.064,0.522,-0.81,-0.253,0.008,-0.037,0.021,-0.044,-0.069,0.157,0.018,0.05,-0.079,-0.408,-0.022,0.145,-0.051,0.0,0.35,0.007,0.047,0.032,-0.518,0.003
parliament,P.142 Labis,0.023,0.109,0.118,-0.694,0.342,0.097,-0.889,-0.727,-0.101,-0.196,0.043,-0.055,-0.163,0.28,0.012,0.033,-0.343,-0.575,0.01,0.138,-0.066,0.0,0.35,-1.0,0.063,0.219,0.335,0.052
parliament,P.143 Pagoh,0.02,0.135,0.071,-0.442,0.166,0.314,-0.805,-0.539,-0.243,0.045,0.047,-0.108,-0.254,0.027,-0.043,-0.002,-0.185,0.022,-0.467,0.021,0.16,0.0,0.35,-1.0,-0.206,0.245,0.125,-0.09
parliament,P.144 Ledang,0.002,0.159,0.141,-0.2,0.01,0.199,0.088,0.002,0.018,0.101,-0.055,-0.103,-0.075,0.079,0.036,0.055,-0.128,-0.442,-0.289,-0.058,0.004,0.0,0.0,-0.406,0.039,0.055,0.099,-0.26
parliament,P.145 Bakri,-0.541,-0.647,-0.556,-0.29,-0.122,0.158,-0.245,0.038,-0.231,0.25,0.052,-0.097,-0.047,-0.082,0.096,0.151,0.025,-0.408,-0.311,0.059,0.055,0.0,-0.004,0.06,0.09,-0.245,-0.443,-0.129
parliament,P.146 Muar,-0.433,-0.463,-0.305,0.049,-0.004,0.009,0.071,0.013,-0.089,0.156,-0.047,-0.13,0.029,-0.076,0.078,0.168,-0.062,-0.275,-0.4,0.025,-0.004,0.0,-0.005,-0.125,-0.155,0.058,0.011,-0.445
parliament,P.147 Parit Sulong,-0.152,0.002,-0.644,-0.437,0.085,0.054,0.062,-0.12,-0.02,0.119,-0.035,-0.098,-0.115,0.079,0.046,0.079,-0.273,-0.108,-0.333,0.119,0.029,0.0,0.35,0.004,0.082,0.102,0.044,0.043
parliament,P.148 Ayer Hitam,0.005,-0.239,-0.041,0.071,-0.041,0.265,-0.766,-0.454,-0.052,0.019,0.015,-0.072,-0.094,0.046,0.021,0.043,-0.475,-0.525,-0.378,0.127,0.036,0.0,0.35,-1.0,-0.086,0.056,0.001,-0.141
parliament,P.149 Sri Gading,-0.388,-0.391,-0.234,-0.81,0.026,0.165,-0.46,0.029,-0.128,0.168,-0.12,-0.186,-0.25,-0.385,0.107,0.091,-0.158,-0.592,-0.489,0.138,0.269,0.0,0.35,-0.499,-0.208,-0.199,-0.363,-0.394
parliament,P.150 Batu Pahat,-0.183,-0.198,-0.688,0.055,0.037,0.038,0.109,0.013,-0.003,0.034,-0.07,-0.117,-0.051,0.059,0.06,0.088,-0.29,-0.558,-0.511,0.157,0.0,0.0,0.35,0.071,-0.096,-0.003,0.073,-0.152
parliament,P.151 Simpang Renggam,0.005,-0.548,-0.535,-0.516,0.005,0.527,-0.775,-0.431,-0.265,0.044,0.06,-0.102,-0.068,0.014,-0.142,-0.112,0.006,0.084,0.061,0.179,0.04,0.0,0.35,-1.0,-0.253,0.056,0.124,-0.399
parliament,P.152 Kluang,-0.449,-0.063,0.045,-0.787,-0.028,0.49,-0.264,0.039,-0.114,-0.019,0.037,-0.069,-0.003,0.046,0.013,0.012,-0.11,-0.375,0.02,0.191,-0.023,0.0,0.35,0.058,0.024,-0.341,-0.204,-0.375
parliament,P.153 Sembrong,0.037,0.1,0.042,-0.551,0.145,0.465,-0.885,-0.713,-0.39,0.007,0.088,-0.129,-0.119,0.061,-0.134,-0.087,-0.202,-0.075,0.081,0.172,0.044,0.0,0.35,-1.0,-0.579,-0.185,-0.411,-0.003
parliament,P.154 Mersing,0.066,0.078,-0.5,0.014,0.311,0.133,0.127,-0.741,-0.107,-0.06,0.019,-0.088,0.0,0.042,-0.197,-0.135,0.07,0.129,-0.156,-0.181,-0.023,0.0,-0.014,0.008,0.031,0.12,0.31,-0.051
parliament,P.155 Tenggara,0.017,0.101,0.076,0.149,0.125,0.21,0.049,-0.514,-0.015,-0.046,0.029,-0.042,0.022,-0.013,0.068,0.046,0.02,-0.125,-0.222,0.111,-0.012,0.0,0.35,-0.069,-0.229,0.006,0.127,-0.212
parliament,P.156 Kota Tinggi,0.025,0.014,0.09,0.066,0.174,0.414,0.063,-0.69,-0.079,-0.03,0.038,-0.054,0.011,0.195,-0.021,-0.074,0.008,0.08,-0.156,0.119,-0.124,0.0,-0.044,-1.0,0.118,0.114,0.123,0.027
parliament,P.157 Pengerang,0.009,-0.515,-0.684,0.283,-0.063,0.42,-0.564,-0.521,-0.177,-0.022,-0.011,-0.141,-0.066,0.115,0.054,0.033,0.014,-0.242,-0.067,0.138,-0.023,0.0,0.35,-1.0,0.044,0.099,0.144,-0.097
parliament,P.158 Tebrau,-0.104,-0.614,-0.688,0.363,-0.189,0.261,0.007,0.056,-0.088,-0.083,0.032,-0.065,0.036,-0.514,0.13,0.144,0.011,-0.358,-0.133,0.24,0.08,-0.009,0.175,-0.262,-0.105,-0.603,-0.806,-0.499
parliament,P.159 Pasir Gudang,-0.601,-0.54,-0.547,0.095,-0.578,-0.409,0.054,0.168,-0.122,-0.106,0.049,-0.06,0.039,-0.526,0.127,0.082,0.084,-0.158,0.01,0.24,0.08,0.0,0.35,0.045,0.022,-0.523,-0.189,-0.502
parliament,P.160 Johor Bahru,-0.759,-0.643,-0.625,0.013,-0.773,-0.638,0.252,0.367,0.001,-0.236,0.008,-0.064,-0.133,-0.087,0.192,0.199,0.286,-0.408,-0.156,0.27,0.109,0.0,0.35,0.219,0.168,-0.424,0.002,-0.397
parliament,P.161 Pulai,-0.706,-0.661,-0.599,0.115,-0.691,-0.537,0.353,0.286,-0.01,-0.064,0.008,-0.067,0.069,-0.324,0.171,0.216,-0.079,-0.792,-0.111,0.24,0.015,0.0,0.35,0.319,0.06,-0.497,-0.833,-0.358
parliament,P.162 Iskandar Puteri,-0.396,0.001,0.015,0.065,-0.167,0.087,0.027,0.099,-0.049,-0.009,0.007,-0.082,0.107,-0.405,0.198,0.262,0.112,-0.575,-0.089,0.259,0.0,0.0,0.35,-0.02,-0.119,-0.563,-0.49,-0.506
parliament,P.163 Kulai,0.005,0.019,0.023,-0.564,-0.048,0.311,-0.473,0.014,-0.174,0.108,0.006,-0.124,-0.209,-0.309,0.105,0.112,-0.092,-0.275,-0.111,0.006,0.222,0.0,0.35,-0.695,-0.097,-0.409,0.001,-0.399
parliament,P.164 Pontian,-0.186,-0.733,-0.735,-0.614,0.077,0.141,0.058,-0.087,-0.03,0.024,0.02,-0.058,0.011,0.158,0.03,0.013,-0.075,-0.158,0.01,-0.004,-0.105,0.0,0.35,0.141,0.065,0.178,0.106,-0.018
parliament,P.165 Tanjung Piai,-0.127,-0.539,-0.421,0.113,0.06,0.071,0.375,-0.069,-0.191,0.052,0.058,-0.076,-0.058,0.036,0.043,0.005,0.048,0.015,-0.067,0.002,0.022,0.0,0.35,-1.0,-0.047,0.055,0.08,-0.407
parliament,P.166 Labuan,-0.674,-0.649,-0.452,0.925,-0.439,-0.486,0.082,0.059,0.048,0.009,0.179,-0.394,0.095,-0.357,0.111,0.04,-0.084,-0.458,0.305,-0.055,0.0,0.0,0.35,-0.078,-0.112,-0.296,0.072,-0.122
parliament,P.167 Kudat,0.05,0.022,0.098,0.001,0.165,0.144,-0.918,-0.687,0.075,0.177,-0.017,-0.225,0.207,0.066,-0.406,-0.339,0.244,0.85,0.498,0.213,-0.202,-0.163,-0.207,0.057,-0.184,0.192,-0.209,0.402
parliament,P.168 Kota Marudu,0.05,0.471,0.23,-0.652,0.247,0.07,-0.92,-0.672,0.065,0.125,-0.029,-0.237,0.266,0.102,-0.417,-0.376,0.222,0.792,0.447,0.236,-0.264,-0.017,-0.176,-0.123,-0.123,0.075,-0.264,0.506
parliament,P.169 Kota Belud,0.023,0.825,0.875,-0.582,0.147,-0.178,-0.915,-0.529,0.162,0.337,-0.029,-0.223,0.131,0.162,-0.3,-0.377,0.168,0.584,0.559,-0.109,-0.202,-0.026,-0.255,-0.182,-0.289,0.089,-0.311,0.372
parliament,P.170 Tuaran,0.016,0.355,0.174,0.011,0.246,-0.192,-0.893,-0.355,0.112,0.193,-0.043,-0.239,0.069,0.0,-0.169,-0.218,0.087,0.216,0.173,-0.04,-0.054,0.0,-0.175,-0.35,-0.294,0.118,-0.442,0.268
parliament,P.171 Sepanggar,-0.364,0.13,0.134,-0.07,-0.028,-0.394,-0.621,0.064,0.088,0.131,0.004,-0.218,0.025,-0.357,0.051,-0.164,0.095,0.082,0.214,0.244,0.058,-0.009,-0.086,-0.739,-0.503,-0.564,-0.95,-0.074
parliament,P.172 Kota Kinabalu,-0.772,-0.597,-0.506,-0.229,-0.633,-0.671,0.085,0.316,0.006,0.077,-0.02,-0.245,-0.234,0.075,0.137,0.06,0.0,-0.708,0.234,0.251,0.113,0.0,-0.024,0.279,0.185,-0.31,-0.35,-0.345
parliament,P.173 Putatan,-0.727,-0.555,-0.256,0.063,-0.307,-0.554,0.077,0.134,0.059,0.165,-0.005,-0.226,0.054,-0.16,0.039,-0.15,0.076,0.121,0.336,0.247,-0.008,0.0,-0.011,-0.239,-0.13,-0.515,-0.95,-0.163
parliament,P.174 Penampang,-0.118,0.283,0.123,-0.698,0.307,-0.387,-0.829,0.012,-0.078,0.018,0.015,-0.239,-0.152,-0.08,0.03,-0.134,-0.123,-0.275,0.458,0.028,0.124,0.0,-0.024,0.062,-0.355,-0.489,-0.374,0.065
parliament,P.175 Papar,0.001,0.254,0.148,-0.557,0.295,-0.346,0.06,-0.125,-0.046,0.231,0.044,-0.202,-0.082,-0.152,-0.031,-0.228,0.0,0.129,0.305,0.006,0.091,0.0,-0.016,-0.178,-0.453,0.007,-0.308,0.107
parliament,P.176 Kimanis,0.011,0.21,0.106,-0.696,0.246,0.022,0.195,-0.634,0.033,0.25,-0.009,-0.23,-0.143,0.004,-0.12,-0.319,0.109,0.259,0.397,0.013,0.095,0.0,-0.069,-1.0,-0.364,0.279,-0.95,0.318
parliament,P.177 Beaufort,0.009,0.127,-0.542,0.031,0.177,-0.029,0.017,-0.606,0.125,0.204,-0.036,-0.23,0.013,0.093,-0.288,-0.327,0.045,0.458,0.214,-0.007,-0.066,-0.034,-0.123,0.151,0.021,0.346,0.15,0.616
parliament,P.178 Sipitang,0.091,0.356,0.151,-0.615,0.363,-0.137,-0.177,-0.781,0.023,0.166,-0.024,-0.24,0.086,0.066,-0.158,-0.371,-0.048,0.094,0.224,-0.013,-0.109,0.0,-0.032,0.02,-0.107,0.202,0.012,0.392
parliament,P.179 Ranau,0.096,0.783,0.44,-0.783,0.341,-0.21,-0.924,-0.763,-0.0,0.333,0.115,-0.122,-0.03,-0.129,-0.246,-0.299,0.115,0.433,0.468,0.342,0.051,0.0,-0.575,0.001,-0.092,0.319,-0.153,0.292
parliament,P.180 Keningau,0.048,0.533,0.243,-0.823,0.298,-0.251,0.01,-0.612,0.077,0.095,-0.009,-0.224,0.141,-0.099,-0.085,-0.232,0.079,0.183,0.214,-0.136,-0.093,0.0,-0.201,0.022,-0.109,0.061,-0.158,0.405
